age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week
32,Private,81528,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,60
33,Private,323811,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,55
25,Private,335005,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,3137,0,40
30,Private,84119,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2051,40
41,Private,112181,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Female,0,0,12
42,Private,245626,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,0,0,60
28,Private,153869,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40
43,Private,208613,Bachelors,13,Separated,Tech-support,Not-in-family,White,Male,0,0,40
26,Private,51961,12th,8,Never-married,Sales,Other-relative,Black,Male,0,0,51
33,Federal-gov,94193,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40
29,Private,370494,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,0,40
24,Private,97212,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40
39,Private,56648,HS-grad,9,Separated,Sales,Not-in-family,White,Female,0,0,47
28,Private,185127,Some-college,10,Never-married,Tech-support,Not-in-family,White,Male,0,0,54
25,Private,312157,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40
35,State-gov,80771,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40
38,Local-gov,329980,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,1876,40
48,Private,254291,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40
66,Local-gov,140849,HS-grad,9,Widowed,Other-service,Not-in-family,White,Female,0,0,25
37,Private,125550,HS-grad,9,Divorced,Sales,Not-in-family,White,Female,0,0,60
21,Private,118693,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40
26,Federal-gov,393728,Some-college,10,Divorced,Adm-clerical,Own-child,White,Male,0,0,24
55,Private,193568,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,40
48,Private,49278,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40
33,Private,268451,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40
26,Private,156805,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40
45,Private,178416,Assoc-voc,11,Divorced,Handlers-cleaners,Not-in-family,White,Female,0,0,40
27,Local-gov,332249,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,40
23,Private,256278,7th-8th,4,Married-civ-spouse,Handlers-cleaners,Other-relative,Other,Female,0,0,30
21,Private,176262,Assoc-acdm,12,Never-married,Other-service,Own-child,White,Female,0,0,18
47,Private,161676,11th,7,Never-married,Transport-moving,Not-in-family,Black,Male,0,0,40
20,Private,161922,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,43
24,Private,90934,Bachelors,13,Never-married,Sales,Own-child,Asian-Pac-Islander,Male,0,0,55
61,Private,101265,12th,8,Widowed,Machine-op-inspct,Unmarried,White,Female,0,0,40
19,Local-gov,53220,HS-grad,9,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40
79,Private,266119,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40
38,Private,186325,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,38
22,Private,106700,Assoc-acdm,12,Never-married,Adm-clerical,Own-child,White,Female,0,0,27
41,Private,194636,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40
23,Private,543028,HS-grad,9,Never-married,Sales,Own-child,Black,Male,0,0,40
18,Private,123343,11th,7,Never-married,Sales,Not-in-family,White,Female,0,0,30
18,Private,345285,11th,7,Never-married,Sales,Own-child,White,Female,0,0,20
18,Private,39411,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,24
69,Local-gov,660461,HS-grad,9,Widowed,Adm-clerical,Not-in-family,Black,Female,0,0,20
43,Private,163847,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50
40,State-gov,456110,11th,7,Divorced,Transport-moving,Unmarried,White,Female,0,0,52
53,Self-emp-not-inc,101017,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,35
44,Private,59474,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40
29,State-gov,106334,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40
48,Private,373366,1st-4th,2,Married-civ-spouse,Farming-fishing,Husband,White,Male,3781,0,50
19,Private,128363,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,30
67,Private,236627,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2
28,Private,27956,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,99
33,Private,103435,Assoc-voc,11,Separated,Prof-specialty,Not-in-family,White,Male,0,0,45
47,Self-emp-inc,332355,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,50
32,Private,209103,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,20
27,Private,133929,Bachelors,13,Never-married,Prof-specialty,Unmarried,White,Female,0,0,36
19,Private,192453,Some-college,10,Never-married,Other-service,Other-relative,White,Female,0,0,25
20,Private,266015,Some-college,10,Never-married,Sales,Own-child,Black,Male,0,0,44
28,Private,161538,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Female,0,0,35
48,Private,96359,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60
25,Private,282313,10th,6,Never-married,Handlers-cleaners,Own-child,Black,Male,0,1602,40
39,Private,262158,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Female,0,0,45
30,Private,207253,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40
27,Private,292472,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40
36,Private,51100,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40
20,Private,107658,Some-college,10,Never-married,Tech-support,Not-in-family,White,Female,0,0,10
33,Private,174201,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40
62,Private,345780,Assoc-voc,11,Divorced,Other-service,Not-in-family,White,Male,0,0,40
46,Private,62793,HS-grad,9,Divorced,Sales,Other-relative,White,Female,0,0,40
42,Private,118686,Some-college,10,Divorced,Prof-specialty,Unmarried,White,Female,0,0,20
53,Private,194259,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,4386,0,40
21,Private,188923,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,55
39,Private,258102,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,50
38,Private,187264,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,55
80,?,29020,Prof-school,15,Married-civ-spouse,?,Husband,White,Male,10605,0,10
36,Private,214816,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Female,0,0,40
59,Private,426001,HS-grad,9,Married-spouse-absent,Adm-clerical,Unmarried,White,Female,0,0,20
36,Private,358373,HS-grad,9,Separated,Machine-op-inspct,Not-in-family,Black,Female,0,0,36
20,Private,451996,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40
34,State-gov,20057,Some-college,10,Married-spouse-absent,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,0,0,38
33,Private,70447,HS-grad,9,Never-married,Transport-moving,Other-relative,Asian-Pac-Islander,Male,0,0,40
27,Local-gov,163862,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60
36,Self-emp-not-inc,135416,Some-college,10,Married-civ-spouse,Other-service,Wife,White,Female,0,0,50
36,Private,110998,Masters,14,Widowed,Tech-support,Unmarried,Asian-Pac-Islander,Female,0,0,40
53,Private,274528,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,70
53,Local-gov,260106,Prof-school,15,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,50
22,Private,264874,Some-college,10,Never-married,Tech-support,Other-relative,White,Female,0,0,40
45,Private,192323,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,66
20,Private,206681,12th,8,Never-married,Sales,Not-in-family,White,Female,0,0,55
37,Private,211494,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40
61,Self-emp-inc,134768,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50
21,Private,196508,Some-college,10,Never-married,Sales,Own-child,Black,Female,0,0,40
33,Private,153151,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,4416,0,40
17,?,341395,10th,6,Never-married,?,Own-child,Black,Male,0,0,20
25,Private,462869,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,40
31,Private,286675,HS-grad,9,Divorced,Craft-repair,Own-child,White,Male,0,0,50
45,Private,1366120,Assoc-voc,11,Divorced,Other-service,Not-in-family,White,Female,0,0,8
17,Private,316929,12th,8,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,20
52,Private,71768,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40
48,Private,108699,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40
18,Private,60981,Some-college,10,Never-married,Sales,Own-child,White,Female,2176,0,35
50,Local-gov,50459,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,42
29,Private,258862,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Female,0,0,45
47,Private,198200,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50
62,Local-gov,136787,HS-grad,9,Divorced,Transport-moving,Other-relative,White,Male,0,0,40
28,Private,98010,Some-college,10,Married-spouse-absent,Adm-clerical,Own-child,White,Female,0,0,40
46,Self-emp-not-inc,366089,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,40
43,State-gov,52849,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40
59,Private,252714,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,30
53,Private,250034,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,50
24,Private,611029,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40
43,Private,137126,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40
37,Private,175643,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,30
69,?,182668,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,45
31,Private,34503,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40
40,Private,116632,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,0,0,60
52,Private,189728,HS-grad,9,Separated,Priv-house-serv,Not-in-family,White,Female,0,0,50
47,Private,144351,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45
20,Private,305446,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,30
55,Private,197422,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,7688,0,40
34,State-gov,156292,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,0,40
61,Local-gov,144723,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,60
24,Private,113466,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,40
43,Self-emp-inc,602513,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50
39,Self-emp-not-inc,48063,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60
69,Private,130060,HS-grad,9,Separated,Transport-moving,Unmarried,Black,Female,2387,0,40
35,Self-emp-not-inc,350247,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50
36,Private,130200,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,White,Male,0,0,40
28,Self-emp-inc,153291,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,35
53,Private,123703,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,40
24,Private,450695,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Male,0,0,35
37,Self-emp-inc,257295,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,75
65,Private,174603,5th-6th,3,Widowed,Machine-op-inspct,Not-in-family,White,Female,0,0,10
46,Self-emp-inc,110457,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55
26,Private,175789,HS-grad,9,Divorced,Handlers-cleaners,Own-child,White,Female,0,0,40
51,Self-emp-inc,98642,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,14084,0,40
22,Private,83704,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,30
45,Self-emp-not-inc,184285,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,45
50,Self-emp-not-inc,183915,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45
49,Private,334787,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40
56,Local-gov,267763,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40
35,Self-emp-not-inc,225399,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,8614,0,40
44,Private,195545,HS-grad,9,Divorced,Machine-op-inspct,Own-child,Black,Female,0,0,40
37,Private,114765,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40
25,Private,106377,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,40
43,Private,55294,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40
39,Private,299828,5th-6th,3,Separated,Sales,Unmarried,Black,Female,0,0,30
28,Private,247819,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,5
26,Private,233777,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,72
60,Private,140544,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40
21,Private,103205,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40
33,State-gov,121245,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60
60,Private,355865,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50
24,Private,126568,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,33
36,Private,273604,Bachelors,13,Never-married,Other-service,Not-in-family,White,Female,0,0,40
49,Private,147002,HS-grad,9,Never-married,Craft-repair,Unmarried,White,Female,0,0,40
51,Private,282549,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,3137,0,40
32,Private,226267,5th-6th,3,Married-spouse-absent,Craft-repair,Other-relative,White,Male,0,0,40
45,Private,265097,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,1902,40
55,Private,61708,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,6418,0,50
61,Private,73809,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40
19,Private,285263,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,40
46,Private,123053,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,50
50,Private,63000,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,60
42,?,240027,HS-grad,9,Divorced,?,Not-in-family,Black,Female,0,0,40
19,Private,354104,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,30
31,Private,43716,Assoc-voc,11,Divorced,Machine-op-inspct,Unmarried,White,Male,0,0,43
37,State-gov,191779,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40
51,Self-emp-not-inc,168539,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40
48,Private,149640,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40
30,Local-gov,247328,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40
45,Self-emp-not-inc,239093,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,3137,0,40
36,Private,128382,Some-college,10,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,45
25,Private,212800,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,40
63,Private,188976,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40
21,Private,205759,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40
24,Private,310380,Some-college,10,Married-spouse-absent,Adm-clerical,Own-child,Black,Female,0,0,45
50,Private,191299,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50
22,?,354351,Some-college,10,Never-married,?,Not-in-family,White,Male,0,0,40
17,Private,117477,10th,6,Never-married,Other-service,Own-child,White,Male,0,0,40
32,Private,131224,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40
43,Private,306440,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,66
32,State-gov,104509,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,0,25
58,?,150031,Some-college,10,Never-married,?,Not-in-family,White,Female,0,0,40
31,State-gov,207505,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,70
36,Self-emp-inc,102729,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,70
23,Private,35448,Some-college,10,Never-married,Other-service,Unmarried,White,Female,0,0,25
37,Local-gov,174924,Some-college,10,Divorced,Protective-serv,Unmarried,White,Male,0,0,48
47,Private,167159,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,4650,0,40
54,Local-gov,186884,Some-college,10,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,30
41,Private,223548,1st-4th,2,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40
21,Private,44793,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,65
72,Private,268861,7th-8th,4,Widowed,Other-service,Not-in-family,White,Female,0,0,99
35,Private,220943,HS-grad,9,Divorced,Other-service,Unmarried,Black,Female,0,1594,40
41,?,339682,5th-6th,3,Married-civ-spouse,?,Husband,White,Male,0,0,40
62,Self-emp-not-inc,204085,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,25
40,Private,138975,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,56
23,Private,276568,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,40
41,State-gov,187322,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40
36,Private,128876,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40
72,Private,74141,9th,5,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Female,0,0,48
20,?,432376,Some-college,10,Never-married,?,Own-child,White,Male,0,0,40
34,Private,101709,HS-grad,9,Separated,Transport-moving,Not-in-family,Asian-Pac-Islander,Male,0,0,40
51,Private,175070,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,5178,0,45
52,Self-emp-not-inc,165278,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,22
50,Self-emp-not-inc,37913,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40
47,Local-gov,109705,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40
38,Private,40955,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40
23,Private,50953,Some-college,10,Never-married,Tech-support,Not-in-family,White,Female,0,0,40
47,Self-emp-not-inc,355978,Doctorate,16,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2002,45
42,Private,155469,Assoc-acdm,12,Widowed,Tech-support,Unmarried,White,Female,0,0,24
27,Private,302422,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40
26,Self-emp-not-inc,233933,10th,6,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,32
33,Private,34748,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,1887,20
42,State-gov,148316,Assoc-voc,11,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40
30,State-gov,112139,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40
62,Private,226733,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40
38,State-gov,112497,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,60
28,Private,715938,Bachelors,13,Never-married,Craft-repair,Own-child,Black,Male,0,0,40
64,Self-emp-not-inc,31826,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45
18,Private,329054,11th,7,Never-married,Adm-clerical,Own-child,White,Female,0,0,15
34,Private,199227,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,50
35,Private,184655,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40
30,Private,218551,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,0,0,45
59,Private,160631,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60
48,Private,349986,Assoc-voc,11,Married-spouse-absent,Prof-specialty,Not-in-family,White,Male,0,0,40
25,Private,139012,Bachelors,13,Never-married,Sales,Own-child,Asian-Pac-Islander,Male,2174,0,40
39,Private,206520,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,45
41,Private,204682,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Male,2174,0,40
28,Self-emp-inc,115705,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50
39,Private,59313,12th,8,Married-spouse-absent,Transport-moving,Not-in-family,Black,Male,0,0,45
23,Private,268145,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,45
23,Local-gov,115244,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,60
20,Private,185452,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40
81,?,89391,Prof-school,15,Married-civ-spouse,?,Husband,White,Male,0,0,24
32,Private,188048,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,40
36,Private,228157,Some-college,10,Never-married,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,0,0,40
34,Local-gov,124827,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40
17,?,258872,11th,7,Never-married,?,Own-child,White,Female,0,0,5
43,State-gov,38537,Some-college,10,Divorced,Exec-managerial,Unmarried,Black,Female,0,0,38
59,Local-gov,53304,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50
29,Private,180758,Assoc-acdm,12,Never-married,Craft-repair,Not-in-family,White,Male,0,0,60
45,Private,148995,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,15024,0,40
30,Private,137606,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,5013,0,40
69,?,180187,Assoc-acdm,12,Widowed,?,Not-in-family,White,Female,0,0,6
57,Private,426263,Masters,14,Divorced,Exec-managerial,Unmarried,White,Male,0,0,40
36,Federal-gov,359249,Some-college,10,Separated,Adm-clerical,Not-in-family,Black,Male,0,0,40
43,Private,193882,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,55
52,Private,126978,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,0,0,40
50,Private,129956,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,48
20,?,238685,11th,7,Divorced,?,Not-in-family,White,Female,0,0,40
21,Private,190805,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,32
46,Private,133169,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40
48,Private,20296,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,37
50,Private,201882,Masters,14,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,30
21,Private,132320,11th,7,Never-married,Craft-repair,Not-in-family,White,Male,0,0,35
35,Private,452283,HS-grad,9,Divorced,Sales,Own-child,White,Female,0,0,40
43,Private,81243,Bachelors,13,Divorced,Tech-support,Not-in-family,White,Male,0,1876,40
41,Private,233130,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40
43,Private,76460,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40
29,Private,229729,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,0,0,40
57,Private,104996,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,42
